Raw Summed Score,T-Score,SE,Theta Score
8,37.4,5.7,-1.26
9,43.3,3.8,-0.67
10,45.9,3.3,-0.41
11,48.1,2.8,-0.19
12,49.7,2.5,-0.03
13,51.2,2.3,0.12
14,52.5,2.2,0.25
15,53.7,2.1,0.37
16,54.8,2.1,0.48
17,55.9,2.1,0.59
18,57,2.1,0.7
19,58.1,2.1,0.81
20,59.2,2.1,0.92
21,60.3,2.1,1.03
22,61.5,2.2,1.15
23,62.7,2.2,1.27
24,63.9,2.2,1.39
25,65.1,2.3,1.51
26,66.2,2.3,1.62
27,67.4,2.3,1.74
28,68.6,2.2,1.86
29,69.7,2.2,1.97
30,70.9,2.2,2.09
31,72,2.2,2.2
32,73.1,2.2,2.31
33,74.2,2.2,2.42
34,75.4,2.3,2.54
35,76.6,2.3,2.66
36,78,2.4,2.8
37,79.6,2.6,2.96
38,81.4,2.8,3.14
39,84,2.9,3.4